,정류장이름,정류장ID,위도,경도
1093,기룡마을,JUB311100162,35.75098566,127.00248405
1094,기룡마을,JUB311100163,35.75097489,127.00270974
1095,용정마을,JUB311100164,35.75506744,127.00142554
1096,용정마을,JUB311100175,35.75515003,127.00101136
1097,신성리,JUB311100194,35.76421427,126.98848537
1098,신성리,JUB311100196,35.76431725,126.9883748
1099,하천마을,JUB311100209,35.76672825,127.00381423
1100,하천마을,JUB311100210,35.76670248,127.00389713
1101,금구,JUB311100228,35.77167081,127.00785721
1102,서계마을,JUB311100230,35.7718368,126.9972955
1103,금구,JUB311100232,35.77177094,127.00797762
1104,서계마을,JUB311100233,35.7719,126.9973227
1105,금구면사무소,JUB311100242,35.77410805,127.01104537
1106,금구면사무소,JUB311100243,35.77418989,127.01113284
1107,오봉리,JUB311100247,35.78545284,127.05534511
1108,오봉리,JUB311100248,35.78554435,127.05552101
1109,금구파출소,JUB311100260,35.7756021,127.0109081
1110,금구파출소,JUB311100261,35.7757803,127.0110298
1111,봉산마을삼성생명연수원,JUB311100275,35.77928343,127.01664423
1112,봉산마을삼성생명연수원,JUB311100277,35.77943628,127.01654079
1113,어전마을,JUB311100282,35.78213418,127.01823219
1114,어전마을,JUB311100283,35.78222188,127.01801469
1115,대율리입구,JUB311100303,35.7861173,127.02953496
1116,대율리입구,JUB311100307,35.78651248,127.0290473
1117,대화리.대율2길입구,JUB311100309,35.7867721,127.0325203
1118,대화리.대율2길입구,JUB311100310,35.78696993,127.03228728
1119,삼바실,JUB311100312,35.78837279,127.03734072
1120,삼바실,JUB311100313,35.78840716,127.03852371
1121,양석동,JUB311100317,35.78858873,127.04736381
1122,양석동,JUB311100319,35.78864571,127.04752842
1123,금천,JUB311100326,35.79066021,127.04200605
1124,금천,JUB311100327,35.79072359,127.0416865
1125,마동,JUB311100329,35.7905418,127.0663185
1126,마산,JUB311100332,35.79121792,127.05867106
1127,마산,JUB311100334,35.79146435,127.05851095
1128,대문안,JUB311100353,35.79408791,127.04750798
1129,대문안,JUB311100359,35.79446159,127.04752133
1130,구암,JUB311100410,35.79861279,127.01866907
1131,구암,JUB311100415,35.79870643,127.01882666
1132,동둔마을,JUB311100465,35.80283064,127.01587995
1133,서둔마을,JUB311100491,35.80470559,127.01231786
1134,서둔마을,JUB311100492,35.80481743,127.01211112
1135,산동교회,JUB311100522,35.80716248,127.00915281
1136,산동교회,JUB311100524,35.80723286,127.00938273
1137,신흥마을,JUB311100540,35.80916228,127.0049013
1138,신흥마을,JUB311100542,35.80920951,127.00460735
1139,낙성리종점,JUB311100560,35.81145235,126.99029179
1140,낙성리종점,JUB311100561,35.81146627,126.99013036
1141,낙성리입구,JUB311100603,35.81483493,126.98958226
1142,낙성리입구,JUB311100604,35.81485965,126.98983247
1143,불노리,JUB311100606,35.8149437,126.9809199
1144,사동마을,JUB311100607,35.81506032,126.97527905
1145,불노리,JUB311100610,35.8151788,126.98085331
1146,불노리,JUB311100612,35.81528677,126.98246647
1147,사동마을,JUB311100613,35.81530821,126.97616495
1148,불노리,JUB311100614,35.8153952,126.98271149
1149,상리,JUB311100617,35.8155237,126.96876054
1150,상리,JUB311100624,35.81578463,126.96877623
1151,예비군훈련장,JUB311100652,35.81859495,126.9814691
1152,예비군훈련장,JUB311100654,35.81868292,126.98164604
1153,부교마을,JUB311100705,35.821445,126.97916786
1154,부교마을,JUB311100708,35.82157934,126.97928748
1155,송삼마을,JUB311100822,35.8295442,126.9940011
1156,송삼마을,JUB311100824,35.8291746,126.9946633
1157,모산종점,JUB311100826,35.82900931,126.97194033
1158,행화촌마을,JUB311100834,35.8611195,126.9148188
1159,모산종점,JUB311100835,35.82926991,126.97206278
1160,도리실마을,JUB311100933,35.83490254,126.96542764
1161,도리실마을,JUB311100934,35.83490253,126.9652228
1162,마교마을,JUB311100956,35.83607146,126.96447282
1163,마교마을,JUB311100957,35.83616606,126.96463498
1164,신암마을,JUB311100970,35.83690614,126.98716849
1165,신암마을,JUB311100971,35.83694273,126.98735986
1166,천수동마을입구,JUB311101007,35.83890592,126.98939406
1167,천수동마을입구,JUB311101009,35.83894213,126.98972827
1168,비룡마을,JUB311101065,35.84463282,126.9907045
1169,비룡마을,JUB311101067,35.84470558,126.99084492
1170,예촌마을,JUB311101072,35.84483,126.96062827
1171,예촌마을,JUB311101073,35.84486093,126.96078809
1172,신흥리,JUB311101105,35.84844671,126.99154853
1173,신흥리,JUB311101108,35.84841252,126.99177037
1174,용지중,JUB311101124,35.85015476,126.95897716
1175,용지중,JUB311101125,35.85016483,126.95875053
1176,원마다리,JUB311101151,35.84530175,126.99916008
1177,원마다리,JUB311101153,35.84533872,126.99927032
1178,마다리,JUB311101160,35.84571051,126.99629893
1179,마다리,JUB311101161,35.84578316,126.99636443
1180,용지종점,JUB311101174,35.85385636,126.95583424
1181,용지종점,JUB311101179,35.85399433,126.95598172
1182,춘강,JUB311101241,35.85802494,126.99077459
1183,춘강,JUB311101242,35.85808315,126.99059792
1184,산지촌마을,JUB311101315,35.86400348,126.99011229
1185,산지촌마을,JUB311101316,35.86404858,126.99027003
1186,영천마을,JUB311101360,35.86779329,126.99186977
1187,영천마을,JUB311101361,35.86786225,126.99172302
1188,득룡교,JUB311101442,35.87523353,127.0050109
